[15-Mar-2026 21:17:41 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:17:41 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:17:41 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:17:41 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:17:44 America/New_York] GPS action: get_shift_status, driver_id: 1, lat: , lng: 
[15-Mar-2026 21:17:44 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:17:44 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:17:44 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:17:44 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:17:47 America/New_York] GPS action: get_shift_status, driver_id: 1, lat: , lng: 
[15-Mar-2026 21:17:48 America/New_York] GPS action: get_shift_status, driver_id: 1, lat: , lng: 
[15-Mar-2026 21:17:49 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:17:49 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:17:49 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:17:49 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:18:07 America/New_York] GPS action: get_shift_status, driver_id: 1, lat: , lng: 
[15-Mar-2026 21:18:07 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:18:07 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:18:07 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:18:07 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:18:09 America/New_York] GPS action: get_shift_status, driver_id: 1, lat: , lng: 
[15-Mar-2026 21:18:10 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:18:10 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:18:10 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:18:10 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:18:21 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:18:22 America/New_York] GPS action: get_shift_status, driver_id: 1, lat: , lng: 
[15-Mar-2026 21:18:22 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:18:22 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:18:22 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:18:22 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:18:28 America/New_York] GPS action: get_shift_status, driver_id: 1, lat: , lng: 
[15-Mar-2026 21:18:28 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:18:28 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:18:28 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:18:28 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[15-Mar-2026 21:19:38 America/New_York] GPS action: get_shift_status, driver_id: 1, lat: , lng: 
[15-Mar-2026 21:19:39 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[15-Mar-2026 21:20:42 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[15-Mar-2026 21:21:45 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:22:43 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:23:39 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:24:45 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:25:39 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[15-Mar-2026 21:26:42 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[15-Mar-2026 21:27:40 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:28:46 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:29:46 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:30:48 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
